# Forces     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
0.5          	((4.352140e-02 1.157423e-04 1.216582e-21) (4.593076e-03 4.094500e-07 -4.440275e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.787117e-06 2.176070e-03 -9.854921e-10) (-2.047250e-08 2.296538e-04 9.640790e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
1            	((3.356388e-02 9.484210e-05 9.379699e-22) (2.009351e-03 1.202906e-06 -3.223862e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.742105e-06 1.678194e-03 -6.651846e-10) (-6.014530e-08 1.004676e-04 -9.239871e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5          	((-3.473201e-03 2.324144e-06 -9.793751e-23) (7.588191e-04 7.959044e-07 4.853368e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.162072e-07 -1.736600e-04 -1.230257e-10) (-3.979522e-08 3.794095e-05 -2.107237e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
2            	((-2.504036e-02 -5.578447e-05 -7.010114e-22) (5.079622e-04 -1.284820e-07 2.527439e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.789224e-06 -1.252018e-03 -1.601801e-10) (6.424101e-09 2.539811e-05 -3.017382e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5          	((-1.638435e-02 -4.053966e-05 -4.584070e-22) (7.421709e-04 -5.340274e-07 1.578686e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.026983e-06 -8.192176e-04 -6.013155e-10) (2.670137e-08 3.710855e-05 -3.274038e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
3            	((4.799259e-03 7.966327e-06 1.346840e-22) (9.536298e-04 -2.062598e-07 -5.324105e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.983164e-07 2.399629e-04 -7.997629e-10) (1.031299e-08 4.768149e-05 -2.809075e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
3.5          	((1.495155e-02 3.437744e-05 4.188356e-22) (9.168442e-04 3.780770e-07 -1.495752e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.718872e-06 7.475777e-04 -4.401118e-10) (-1.890385e-08 4.584221e-05 -1.996459e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
4            	((8.195984e-03 2.271386e-05 2.295512e-22) (7.127962e-04 7.295030e-07 -7.911606e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.135693e-06 4.097992e-04 1.450908e-10) (-3.647515e-08 3.563981e-05 -1.279104e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
4.5          	((-3.866851e-03 -3.168385e-06 -1.083414e-22) (5.337451e-04 7.165273e-07 4.020385e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.584193e-07 -1.933426e-04 4.451658e-10) (-3.582636e-08 2.668726e-05 -8.002018e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
5            	((-8.406283e-03 -1.531750e-05 -2.355284e-22) (4.830992e-04 4.820758e-07 8.288813e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.658748e-07 -4.203141e-04 2.868550e-10) (-2.410379e-08 2.415496e-05 -3.954009e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
5.5          	((-3.608854e-03 -7.930313e-06 -1.011984e-22) (5.238751e-04 2.131672e-07 3.394536e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.965157e-07 -1.804427e-04 -5.817476e-11) (-1.065836e-08 2.619376e-05 1.553565e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
6            	((3.128744e-03 5.238567e-06 8.750803e-23) (5.611146e-04 1.884021e-08 -3.229419e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.619283e-07 1.564372e-04 -2.282041e-10) (-9.420107e-10 2.805573e-05 8.852652e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
6.5          	((4.947951e-03 1.030411e-05 1.384917e-22) (5.420034e-04 -7.317734e-08 -4.904176e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.152055e-07 2.473975e-04 -1.252192e-10) (3.658867e-09 2.710017e-05 1.637873e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
7            	((1.709365e-03 5.528871e-06 4.782253e-23) (4.843874e-04 -8.925173e-08 -1.640903e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.764435e-07 8.546824e-05 7.199087e-11) (4.462586e-09 2.421937e-05 2.251427e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5          	((-1.996003e-03 -1.426595e-06 -5.593913e-23) (4.353680e-04 -9.073438e-08 1.983688e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.132977e-08 -9.980014e-05 1.570405e-10) (4.536719e-09 2.176840e-05 2.697596e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
8            	((-2.587713e-03 -3.756847e-06 -7.251965e-23) (4.197804e-04 -1.404656e-07 2.500966e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.878424e-07 -1.293856e-04 8.993495e-11) (7.023281e-09 2.098902e-05 3.061886e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
8.5          	((-4.979267e-04 -1.154882e-06 -1.401268e-23) (4.261143e-04 -2.594377e-07 4.139463e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.774411e-08 -2.489634e-05 -1.479372e-11) (1.297188e-08 2.130571e-05 3.429859e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
9            	((1.490322e-03 2.232786e-06 4.165780e-23) (4.289515e-04 -4.108580e-07 -1.519831e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.116393e-07 7.451611e-05 -4.253656e-11) (2.054290e-08 2.144758e-05 3.808267e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
9.5          	((1.561676e-03 3.104521e-06 4.366433e-23) (4.158525e-04 -5.345940e-07 -1.552560e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.552261e-07 7.808381e-05 1.468885e-11) (2.672970e-08 2.079262e-05 4.144020e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
10           	((2.493392e-04 1.536894e-06 6.938343e-24) (3.937022e-04 -6.005348e-07 -2.494652e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.684470e-08 1.246696e-05 8.128368e-11) (3.002674e-08 1.968511e-05 4.394031e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
10.5         	((-7.962260e-04 -3.049666e-07 -2.231641e-23) (3.759220e-04 -6.297942e-07 7.624120e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.524833e-08 -3.981130e-05 9.353464e-11) (3.148971e-08 1.879610e-05 4.564875e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
11           	((-6.890114e-04 -8.070511e-07 -1.930507e-23) (3.682478e-04 -6.667119e-07 6.367623e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.035256e-08 -3.445057e-05 5.738162e-11) (3.333560e-08 1.841239e-05 4.694996e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
11.5         	((1.092530e-04 -8.220797e-08 3.040566e-24) (3.661132e-04 -7.351983e-07 -1.513460e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.110398e-09 5.462649e-06 2.219322e-11) (3.675992e-08 1.830566e-05 4.813094e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
12           	((6.395904e-04 7.680902e-07 1.788136e-23) (3.620787e-04 -8.220709e-07 -6.607554e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.840451e-08 3.197952e-05 2.303925e-11) (4.110354e-08 1.810394e-05 4.918120e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
